Participant_Name_PrimaryOrganization,Participant_Name_SubordinateOrganization,Participant_ID,Org_Level,Type,Sub_Type,City,ZIP_Code,Delaying_Exchange_until_2026,Request_for_Information,Information_Delivery,Requests_for_Notifications_of_ADT_Events,Own_Technology_URL,Own_Technology_Email,Own_Technology_Phone,Date_DSA_Terminated,Date_Operations_Ceased
"MANJARI ARAVAMUTHAN,M.D.,P.C.",none identified,DXF003636,Primary,Ambulatory Care Settings,Physician practice,San Jose,95121,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
Manjul Patwardhan MD Prof Corp,none identified,DXF003600,Primary,Ambulatory Care Settings,Physician practice,CUPERTINO,95014,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
Manning Gardens Care Center Inc,none identified,DXF003503,Primary,Subacute Care Facility,Skilled nursing facility,Fresno,93725,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
Manorcare Fountain Valley,none identified,DXF005076,Primary,Subacute Care Facility,Skilled nursing facility,Fountain Valley,92708,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
ManorCare Health Services (Sunnyvale),none identified,DXF005068,Primary,Subacute Care Facility,Skilled nursing facility,Sunnyvale,94087,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
Manorcare Health Services Palm Desert,none identified,DXF005069,Primary,Subacute Care Facility,Skilled nursing facility,Palm Desert,92260,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
ManorCare Healthservices - Hemet,none identified,DXF005070,Primary,Subacute Care Facility,Skilled nursing facility,Hemet,92545,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
Manual Orthopedic Physical Therapy Inc.,none identified,DXF000383,Primary,not selected,not selected,Chula Vista,91910,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
Manual Orthopedic Physical Therapy Inc.,Bodywise Acupuncture & Total Wellness,DXF000384,Sub,not selected,not selected,Chula Vista,91910,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
Manzoor A. Kazi Medical Associates Inc.,none identified,DXF000940,Primary,Ancillary Care,Other ancillary care provider,Palm Desert,92260,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
Marcia Luisi MD,none identified,DXF000669,Primary,Ambulatory Care Settings,Physician practice,Santa Rosa,95404,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
Marcos Borrero MD Inc,none identified,DXF000842,Primary,Ambulatory Care Settings,Physician practice,San Diego,92154,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
"Margaret Creek, LMFT 42815",none identified,DXF003653,Primary,Community-Based Organizations,Other community-based service provider,San Juan Capistrano,92675,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
"Maria Geraldina Fuentes, MD Inc",none identified,DXF001425,Primary,Ambulatory Care Settings,Physician practice,Chula Vista,91910,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
Maria Lourdes S. Mara MD - A Medical Corp,none identified,DXF001880,Primary,Ambulatory Care Settings,Physician practice,San Diego,92139,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
Maria Remedios Gopez MD Inc,none identified,DXF000852,Primary,Ambulatory Care Settings,Physician practice,Indio,92201-5598,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
MARIE CLAUDETTE GRAGEDA,none identified,DXF004389,Primary,Ambulatory Care Settings,Physician practice,Hollister,95023,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
Marin Center for Independent Living,none identified,DXF003991,Primary,Community-Based Organizations,Other community-based service provider,San Rafael,94901,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
Marin City Health and Wellness Center,none identified,DXF003491,Primary,Ambulatory Care Settings,Federally Qualified Health Center (FQHC),San Rafael,94903,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
Marin Community Clinic,none identified,DXF002948,Primary,Ambulatory Care Settings,Federally Qualified Health Center (FQHC),Novato,94949,No,CommonWell Health Alliance,CommonWell Health Alliance,NOT APPLICABLE,NA,NA,NA,NA,NA
Mario I Brakin,none identified,DXF000235,Primary,Ambulatory Care Settings,not selected,Long Beach,90815,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
Mariposa County Health and Human Services,none identified,DXF005077,Primary,Counties,County welfare or social services department,Mariposa,95338,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
"Mariya A Zakiuddin, MD, A Medical Corporation",none identified,DXF004485,Primary,Ambulatory Care Settings,Physician practice,Burbank,91501,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
Mark C. Adrian M.D. INC.,none identified,DXF001950,Primary,Ambulatory Care Settings,Independent practice associations,La Jolla,92037,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
"Mark E. Rosen, DO, Inc.",none identified,DXF001441,Primary,Ambulatory Care Settings,Physician practice,Portola Valley,94028,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
Mark Johnson,none identified,DXF001672,Primary,Ambulatory Care Settings,Physician practice,Chula Vista,91910,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
Mark Twain Health Care District,none identified,DXF002242,Primary,Ambulatory Care Settings,Rural health center (RHC),San Andreas,95249,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
Mark Twain Health Care District,Valley Springs Health & Wellness Center,DXF002404,Sub,Ambulatory Care Settings,Rural health center (RHC),Valley Springs,95252,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
Marquis Care at Shasta,none identified,DXF004648,Primary,Subacute Care Facility,Skilled nursing facility,Redding,96002,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
Marshall Medical Center,none identified,DXF003971,Primary,Acute Care Settings,General acute care hospital,Placerville,95667,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
Marshall Medical Center,none identified,DXF005543,Primary,Acute Care Settings,General acute care hospital,Placerville,95667,No,Carequality,Carequality,SELF,https://health.ucdavis.edu/systems-integration/,mbmarchant@ucdavis.edu,9168894591,NA,NA
Marta S Sarmiento MD INC,none identified,DXF000576,Primary,Ambulatory Care Settings,Physician practice,Orange,92868,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
Martha Meza MD,none identified,DXF005277,Primary,Ambulatory Care Settings,Physician practice,Pasadena,91105,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
"Martin Luther King, Jr.-Los Angeles (MLK-LA) Healthcare Corporation",none identified,DXF000763,Primary,Acute Care Settings,General acute care hospital,Los Angeles,90059,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
"Martin Luther King, Jr.-Los Angeles (MLK-LA) Healthcare Corporation",Martin Luther King Jr. Community Medical Foundation,DXF002376,Sub,Ambulatory Care Settings,Medical group,Los Angeles,90059,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
Martin M. Bress MD APC,none identified,DXF001279,Primary,Ambulatory Care Settings,Physician practice,Hollister,95023,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
"Martin Medical Center, P.C.",none identified,DXF000461,Primary,Ambulatory Care Settings,Medical group,Martin,38237,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
Mary Health of the Sick,none identified,DXF005352,Primary,Subacute Care Facility,Skilled nursing facility,Newbury Park,91320,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
"Mary Jane Dylla, MD",none identified,DXF001296,Primary,Ambulatory Care Settings,Physician practice,Saint Helena,94574,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
"Mary M. Moebius, MD Inc",none identified,DXF000573,Primary,Ancillary Care,Other ancillary care provider,Tarzana,91356,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
Mary Regina Pham DDS MS Dental Corporation,none identified,DXF000307,Primary,not selected,not selected,Tustin,92780,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
Mary Regina Pham DDS MS Dental Corporation,Mary R Pham DDS Inc,DXF000308,Sub,not selected,not selected,Tustin,92780,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
Mary Regina Pham DDS MS Dental Corporation,Mary Pham Ikeda Dental Corporation,DXF000309,Sub,not selected,not selected,Tustin,92780,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
Mary Regina Pham DDS MS Dental Corporation,Mary Pham DDS Dental Corporation,DXF000310,Sub,not selected,not selected,Tustin,92780,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
Mary Regina Pham DDS MS Dental Corporation,Mary R Pham DDS Dental Corporation,DXF000311,Sub,not selected,not selected,Tustin,92780,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
Mary Regina Pham DDS MS Dental Corporation,Mary Pham Ikeda DDS MS Inc,DXF000312,Sub,not selected,not selected,Tustin,92780,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
Masoud Afshar,none identified,DXF001965,Primary,Ambulatory Care Settings,Physician practice,IMPERIAL,92251,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
Masoud Afshar MD Inc,none identified,DXF002007,Primary,Ambulatory Care Settings,Physician practice,IMPERIAL,92251,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
"Master•Care, Inc.",none identified,DXF005580,Primary,Community-Based Organizations,Other community-based service provider,FOLSOM,95630,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
MasterCare,none identified,DXF002914,Primary,Community-Based Organizations,Other community-based service provider,FOLSOM,95630,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
"Mathew Isho, M.D., P.C.",none identified,DXF001937,Primary,Ambulatory Care Settings,Physician practice,San Diego,92103,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
"Matrix Care Services, LLC",none identified,DXF002754,Primary,Ancillary Care,Other ancillary care provider,Encino,91316,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
"Matrix Care Services,LLC",none identified,DXF004437,Primary,Ancillary Care,Other ancillary care provider,Encino,91316,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
Matrix Health Promotion,none identified,DXF004317,Primary,Ancillary Care,Other ancillary care provider,Encino,91316,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
"Matthew Pifer, MD",none identified,DXF001006,Primary,not selected,not selected,Santa Barbara,93111,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
Matthew Schultzel DO & Douglas Sullivan PC,none identified,DXF003241,Primary,Ambulatory Care Settings,Other ambulatory care settings,La Jolla,92037,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
"Maureen O. Khoo, MD, Inc.",none identified,DXF004228,Primary,Ambulatory Care Settings,Physician practice,Los Gatos,95032,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
"Max V. Soliguen, M.D.",none identified,DXF001717,Primary,Ambulatory Care Settings,Physician practice,Upland,91786-4087,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
Mayer MD Inc,none identified,DXF003523,Primary,Ambulatory Care Settings,Physician practice,Huntington Park,90255,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
Mayers Memorial Hospital District,none identified,DXF000872,Primary,Acute Care Settings,General acute care hospital,Fall River Mills,96028,Yes,SacValley MedShare,SacValley MedShare,SacValley MedShare,NA,NA,NA,NA,NA
maywood acres healthcare,none identified,DXF004252,Primary,Subacute Care Facility,Skilled nursing facility,Oxnard,93033-4502,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
mba,none identified,DXF002208,Primary,Ambulatory Care Settings,Physician practice,Riverside,92507,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
McCloud Fire Department,none identified,DXF004400,Primary,Emergency Medical Service Providers,not selected,McCloud,96057,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
MD Care and Associates,none identified,DXF001463,Primary,Ambulatory Care Settings,Physician practice,El Cajon,92020,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
"MD Care Providers, Inc.",none identified,DXF002035,Primary,Ambulatory Care Settings,Physician practice,Hemet,92543,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
MDLC,none identified,DXF003007,Primary,Subacute Care Facility,Skilled nursing facility,San Jose,95121,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
Meadow Creek Post-Acute,none identified,DXF004897,Primary,Subacute Care Facility,Skilled nursing facility,Paramount,90723,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
"Meadowbrook Post Acute, LLC",none identified,DXF003501,Primary,Subacute Care Facility,Skilled nursing facility,Hemet,92543,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
Med Stop Urgent Care Center,none identified,DXF000280,Primary,Ambulatory Care Settings,not selected,San Luis Obispo,93405,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
Medhat Mikhael MD Inc DBA Pain Medicine Associates,none identified,DXF002674,Primary,Ambulatory Care Settings,Physician practice,Huntington Beach,92647,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
Medical Center Convalescent Hospital,none identified,DXF005347,Primary,Subacute Care Facility,Skilled nursing facility,San Bernardino,92404-5318,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
"Medical Diagnostic Laboratories, LLC",none identified,DXF004441,Primary,Ancillary Care,Clinical laboratory,Hamilton,08690-3303,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
Medical Diagnostic Laboratory LLC,none identified,DXF003627,Primary,Ancillary Care,Clinical laboratory,La Verne,91750,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
Medical offices of Shashwati S. Kale,none identified,DXF003646,Primary,Ambulatory Care Settings,Physician practice,San Jose,95148,Yes,Long Health,Long Health,Long Health,NA,NA,NA,NA,NA
Medical Vision Technology,none identified,DXF000501,Primary,Community-Based Organizations,Continuum of Care organization (CoC),Sacramento,95816,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
Medicare Dental Directors,none identified,DXF002306,Primary,Plans,Health care service plans and disability insurer,Agoura Hills,91301,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
Medicare Drop,none identified,DXF005093,Primary,Ancillary Care,not selected,Campbell,95009,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
"MedZed Physician Services, Inc.",none identified,DXF002709,Primary,Ambulatory Care Settings,Physician practice,Culver City,90230,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
Meitri Collaborative,none identified,DXF000163,Primary,Ambulatory Care Settings,not selected,San Francisco,94102,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
Melissa Hurd Medical Corporation,none identified,DXF004685,Primary,Ambulatory Care Settings,Physician practice,vista,92083,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
melody lynd,none identified,DXF000564,Primary,Community-Based Organizations,Other community-based service provider,Campbell,95008,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
"Memorial HealthCare IPA, G.P.",none identified,DXF000705,Primary,Ambulatory Care Settings,Independent practice associations,Irvine,92618,No,Manifest MedEx,Manifest MedEx,NOT APPLICABLE,NA,NA,NA,NA,NA
MEND-Meet Each Need with Dignity,none identified,DXF004302,Primary,Community-Based Organizations,Other community-based service provider,Pacoima,91331,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
Mendocino Coast Clinics Inc.,none identified,DXF002897,Primary,Ambulatory Care Settings,Federally Qualified Health Center (FQHC),Fort Bragg,95437,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
Mendocino Community Health Clinic Inc.,none identified,DXF001422,Primary,Ambulatory Care Settings,Federally Qualified Health Center (FQHC),Ukiah,95482,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
Mennonite Brethren Homes Inc,none identified,DXF003029,Primary,Subacute Care Facility,Skilled nursing facility,Reedley,93654,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
Mennonite Brethren Homes Inc,Mennonite Brethren Homes Inc,DXF003114,Sub,Subacute Care Facility,Assisted living facility,Reedley,93654,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
Mennonite Brethren Homes Inc,Mennonite Brethren Homes Inc,DXF003115,Sub,Subacute Care Facility,Skilled nursing facility,Reedley,93654,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
Mental Fitness Clinic,none identified,DXF001526,Primary,Ambulatory Care Settings,Mental health clinic,Los Angeles,90064,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
Merakey,none identified,DXF002660,Primary,Community-Based Organizations,Other community-based service provider,Harrisburg,17112,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
Merced Faculty Associates Medical Group,none identified,DXF001274,Primary,Ambulatory Care Settings,Medical group,Merced,95344,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
Merced Faculty Associates Medical Group,MFA Atwater,DXF001702,Sub,Ambulatory Care Settings,Medical group,Atwater,95301-4456,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
"Merced Faculty Associates Medical Group, Inc.",none identified,DXF005081,Primary,Ambulatory Care Settings,Medical group,Merced,95341,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
Meritage Health Plan,none identified,DXF003989,Primary,Ambulatory Care Settings,Medical group,Petaluma,94954,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
Meritage Medical Network,none identified,DXF002102,Primary,Ambulatory Care Settings,Independent practice associations,Petaluma,94954,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
Metro Family Physicians Medical Group,none identified,DXF001508,Primary,Ambulatory Care Settings,Physician practice,San Diego,92108,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
MHM Healthcare,none identified,DXF004975,Primary,Intermediaries,Other intermediary,San Bernardino,92408,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
miCare LLC,none identified,DXF001186,Primary,Plans,Health care service plans and disability insurer,Clovis,93612,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
"Michael Aguilar, MD",none identified,DXF001696,Primary,Ambulatory Care Settings,Physician practice,Sacramento,95825,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
"Michael Bordofsky, M.D.",none identified,DXF000993,Primary,Ambulatory Care Settings,Physician practice,Santa Barbara,93103,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
"Michael E. Kan, MD, Inc",none identified,DXF004420,Primary,Ambulatory Care Settings,Physician practice,San Jose,95128,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
"Michael K. Tran, M.D., Inc.",none identified,DXF000371,Primary,Ambulatory Care Settings,not selected,Westminster,92683,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
Michael M Salehpour MD A Professional Corporation,none identified,DXF002025,Primary,Ambulatory Care Settings,Physician practice,ventura,93003,No,Manifest MedEx,Manifest MedEx,Manifest MedEx,NA,NA,NA,NA,NA
Michael Santillan,none identified,DXF004417,Primary,Community-Based Organizations,Other community-based service provider,MISSION VIEJO,92691,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
Michael Santillan,Pacific Neuropsychiatric Specialists,DXF004418,Sub,Community-Based Organizations,Other community-based service provider,MISSION VIEJO,92691,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
"MICHAEL SHABTAI, M.D., INC.",none identified,DXF004736,Primary,Community-Based Organizations,Other community-based service provider,Northridge,91325,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
"Michael V. Stulberg, M.D.",none identified,DXF000979,Primary,Ambulatory Care Settings,Physician practice,Santa Barbara,93105,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
"Michelle Liske MD, INC",none identified,DXF000211,Primary,Ambulatory Care Settings,Physician practice,San Diego,92117,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
"Mid County Physician Medical Group, Inc",none identified,DXF001312,Primary,Ambulatory Care Settings,Independent practice associations,San Diego,92121,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
Midcoast imaging,none identified,DXF002400,Primary,Acute Care Settings,General acute care hospital,Lompoc,93436,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
MID-PENINSULA EYE PHYSICIANS & SURGEONS MEDICAL GROUP,none identified,DXF001571,Primary,Ambulatory Care Settings,Physician practice,San Mateo,94401,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
"Mid-Peninsula Ophthalmology Medical Group, Inc.",none identified,DXF004054,Primary,Ambulatory Care Settings,Physician practice,Menlo PArk,94025,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
"Millbrae Care Center, LLC",none identified,DXF001844,Primary,Subacute Care Facility,Skilled nursing facility,Millbrae,94131,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
"MILLENNIUM ADULT HEALTH CARE, INC.",none identified,DXF003538,Primary,Community-Based Organizations,Other community-based service provider,Pasadena,91107,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
"Millennium Health, LLC",none identified,DXF000273,Primary,Ancillary Care,not selected,San Diego,92127,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
"Millennium Medical Practice Management, LLC",none identified,DXF001695,Primary,Ambulatory Care Settings,Other ambulatory care settings,Redding,96099,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
"Mills Peninsula Emergency Medical Associates, Inc",none identified,DXF001616,Primary,Ambulatory Care Settings,Medical group,Burlingame,94010,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
Mills-Peninsula Medical Group,none identified,DXF001262,Primary,Community-Based Organizations,Other community-based service provider,Burlingame,94010,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
Milpas Medical Inc.,none identified,DXF001166,Primary,Ambulatory Care Settings,Physician practice,Santa Barbara,93103,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
MINA SEHHAT MD PC,none identified,DXF004321,Primary,Ambulatory Care Settings,Physician practice,San Jose,95128,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
Mind Study Center,none identified,DXF000596,Primary,Community-Based Organizations,Other community-based service provider,Pasadena,91101,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
"Minh Q. Tran M.D, INC",none identified,DXF000427,Primary,Acute Care Settings,Other acute care setting,Westminster,92683,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
Miracle Mile Pediatrics,none identified,DXF005148,Primary,Ancillary Care,Other ancillary care provider,Los Angeles,90048,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
"Miriam Chan, MD",none identified,DXF004434,Primary,Ambulatory Care Settings,Physician practice,Encino,91316,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
Mission City Community Network,none identified,DXF001579,Primary,Community-Based Organizations,Other community-based service provider,North Hills,91343,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
Mission Neighborhood Health Center,none identified,DXF003715,Primary,Ambulatory Care Settings,Federally Qualified Health Center (FQHC),San Francisco,94110-1323,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
Mission Pediatrics,none identified,DXF000808,Primary,Emergency Medical Service Providers,not selected,Riverside,92506,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
Mission Pediatrics,none identified,DXF000834,Primary,Emergency Medical Service Providers,not selected,Riverside,92506,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
"Mission Pediatrics, Inc.",none identified,DXF000076,Primary,Ambulatory Care Settings,not selected,Redlands,92375,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
"Mission Surgical Clinic, Inc",none identified,DXF000878,Primary,Community-Based Organizations,Other community-based service provider,Riverside,92504,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
Miyakawa Medical Group,none identified,DXF004596,Primary,Ambulatory Care Settings,Physician practice,tulare,93274,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
Modern Therapies for Mind & Soul Inc,none identified,DXF004635,Primary,Ambulatory Care Settings,Mental health clinic,Tracy,95376,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
Modesto Gospel Mission,none identified,DXF003530,Primary,Community-Based Organizations,Other community-based service provider,Modesto,95354,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
ModifyHealth,none identified,DXF003589,Primary,Community-Based Organizations,Other community-based service provider,Alpharetta,30005,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
Mohammed S Qayyum MD INC,none identified,DXF004401,Primary,Ambulatory Care Settings,Physician practice,San Jose,95124,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
